sentence,label
I love the honestly and thoroughness of your reviews Youve helped me make loads of tough collecting decisions including this one Keep rockin,POSITIVE
Most toy lines would just make a vest like that unremovable thats what classified does Frankly even if its a pain its an upgrade from what we get from everyone else,POSITIVE
These look amazing So happy I got a couple to customize Love the realism these guys have with there articulation and accessories,POSITIVE
Quite glad I cancelled my preorders on these The vest tab issue torso splitting and shiny ugly plastic is unacceptable after the very lengthy delays,NEGATIVE
Looking forward to your upcoming reviews of the other Valaverse figures your have Hopefully that splitting at the torso is a QC issue with your Steel igade figure and that the rest of the figures you have dont split while articulating the neck peg,MIXED
Damm I probably have like  plus on pre order for troop building and based on the parts swapping aspect but If the vests are an ongoing issueIm going to have to cancel my orders Its a shamethe figure looks good,NEGATIVE
I got my tracking yesterday ordered  figures and accessories Oooh heck yeah,POSITIVE
Dont like it at all,NEGATIVE
 Great review  Looks like they could make the holes bigger on the vest for the pegs  Kind of annoying to have to do it yourself though  The chest pieces splitting at the neck is a little more concerning though overall,MIXED
theese builds are really nice I love the custom cars in them,POSITIVE
It is very far off  It looks the person is paid to speak well of  igade,NEGATIVE
Brigade only nameall builders are same,NEGATIVE
Still not worth for  crore price ,NEGATIVE
I really want to get into this but tentatively Where I am after exchange and shipping each fig comes to around  Even with Marvel Legends or GI Joe its abut  a shot Collecting has been a slow hobby for me lol,NEGATIVE
Bobby did say Wave  was like starting over at the factory level as the girls were manufactured at a new factory so was like starting from scratch unlike wave  and sds at the other facility so they are more familiar with the items,MIXED
Great review  IMO you have been very balanced with your mix of praise and criticism  A lot of the other people on YouTube have received free figures from Valaverse and refuse to offer any constructive feedback  Its amazing how they sold themselves for a handful of free action figures  My selfrespect is worth more than a couple of hundred bucks  Im not going to order this batch of figures  I do not want any more Action Force figures that have semi frozen joints  I hope that Valaverse follows the same pattern as the original series  If they do the future rerelease should experience a lot less problems,MIXED
this is the one im most excited for Ive loved Steel Brigade since my first one as a kid and Im loving army building them with all the variants  Im definitely going to get a second one at some point,POSITIVE
Too expensive for what you get wait till its ,NEGATIVE
Local coop would result in a serious downgrade in graphics and number of enemies  There is a lot going on and having to render everything twice would make this game unplayable,NEGATIVE
They should have made this a single player experience only Another coop gimmick another fail,NEGATIVE
They should work hard to patch these concerns and update I will buy it eagerly if they do,MIXED
Everything has been sold dont know whos buying ,NEUTRAL
Brigade Woods Whitefield Near ITPL  East Bangalore by Brigade Group For more information  visit  a hrefhttpwww igadewoodsnewprojectcomhttpwww igadewoodsnewprojectcoma  Brigade Woods is another luxury land make project by reputed builder Brigade Group This project located in whitefield East Bangalore Brigade Woods offers BHK BHK BHK BHK and  BHK apartments with size of  sq ft to  sq ft spread over  acres of land and G  Floors   Brigade Woods is  in prime location makes it a desirable address for the IT professionals in Bangalore as it has got very high growth potentialAmenities at Brigade Woods includes Inddor games Swimming Pool fully equipped Club House Land scapping gardens Gym Outdoor games Kids pool Children areaParty hall  Amphitheatre sitout area  Health centre   security Table tennis and much more,POSITIVE
It is very far off  It looks the person is paid to speak well of  igade,NEGATIVE
Brigade only nameall builders are same,NEGATIVE
Missions feel very repetitive,NEGATIVE
Fucking loving it and kibda hate myself i didnt buy this day ,POSITIVE
Should make more content mane more light more content,NEGATIVE
It is sold out and quite old,NEGATIVE
Im really excited to buy this its such a sick design This line is really cool and its a substitute from GI Joe  Im really excited,POSITIVE
i had to pay out of pocket to return ship There slow and cs up and down so i avoid but nice fig,NEUTRAL
Please tell me if its a good project to invest or not Lot of negative reviews on Google,NEGATIVE
" Now Brigade have as usual excelled themselves in introducing these new products to the consumer, and have been particularly good atÂ ...",POSITIVE
" Brigade group is known for quality construction and their projects sells like hot cake. However, the location of this project is very muchÂ ...",POSITIVE
Feeling really good brother ,POSITIVE
It was good ,POSITIVE
I felt very good ,POSITIVE
Nomosta sati brkasto ramro jagha ho,POSITIVE
Really liked it brother,POSITIVE
Bakws place,NEGATIVE
Amazing,POSITIVE
Kichui nei mall tai,NEGATIVE
The mall is useless there are no good brands,NEGATIVE
Aii cenema hall ta khota ache,NEGATIVE
All are disrespectful here,NEGATIVE
Welcome to the hell,NEGATIVE
Feeling awesome,POSITIVE
It turned out very well ,POSITIVE
The doors are already shit from outside brWhat a lame idea,NEGATIVE
wow customers  very happy ,POSITIVE
thats low level  cheap ass restaurants looking for slaves to work there When u re young work in the best restaurants clubs or beach clubs in town to get experienced and after everything will come on time guys,NEGATIVE
Everything was good but they shouldnt use okey to the guest instead of that they can use alright or certainly like kind of professional words please could u mind,MIXED
Super service bar and restaurant,POSITIVE
Didnt enjoy it,NEGATIVE
Hotel management valoki aukat yahi hai,NEGATIVE
I just watching this and   theyre dont know the actual behaviour of customers and how to handle them ,NEGATIVE
There is only one option of vodka and whiskey here I guess  If it were our place the manager would have been in trouble ,NEGATIVE
Rong service,NEGATIVE
Best place,POSITIVE
Great ,POSITIVE
"Located in the heart of Haldia this mall offers a perfect blend of shopping dining and entertainment options The moment I stepped inside The mall boasts a range of stores from local boutiques to international brands catering to diverse tastes and preferences

The food court is a delight with a variety of cuisines to choose from including local Bengali delicacies fast food and fine dining options I was impressed by the quality of food and service The mall also features a multiplex cinemaSVF HALDIA available in both D and D

Overall I highly recommend Haldia Ambuja City Centre Mall for its unique blend of shopping entertainment and community spirit Whether youre a local or a new to this town this mall is definitely worth a visit",POSITIVE
"A quite famous and most attractive place of City CenterHaldia is this Ambuja City Center Mall
Including a lot of variety stores like trends pantaloons max etc fashion mall and Reliance Digital and other electronic store and Reliance Mart and other Grocery mall etc etc with variety of Food Resturant  like WowMomo and Bekary Shops made it enormous
There is SVF multiplex cinema hall inside it with  screens facility available on Book my Show for pre booking
Except it there are gardens seating places in basement and large parking lot 
You will just mesmerize to visit this Giant Mall
Its one of the largest mall in Haldia including varity latest collection of Shops  stores of fashionfood shopping etc items
Visit for weekend for movie and other things for shoppingYou will enjoy it",POSITIVE
It is the largest shopping mall in Haldia It has a wide variety of stores All kinds of famous brands are here The mall is wellmaintained and the staff is friendly and helpful The food court has a good selection of options and the seating area is comfortableThe food available at the food court here is a bit expensive Lots of people come to shop here every day and every one of them enjoy coming here All the branded shops here treat their customers very well Here you can do all kinds of shopping from A to Z My experience here is very good,POSITIVE
Its a nice place to spend some quality time,POSITIVE
Congratulations,POSITIVE
Congratulations,POSITIVE
Excel company,POSITIVE
The show of Boomerang is on the same day as the thirdclass Chandu Champion Sorry Chandu Champion is not running Instead watch the show of Boomerang Some people are saying that the movie has good comedy,MIXED
Nice pic,POSITIVE
I love my Indian,POSITIVE
Very delicious,POSITIVE
This will add a lot to the value beauty and significance of CITY CENTRE HALDIA My good wishes,POSITIVE
Subham SB Bera,POSITIVE
The offer for the new opening is good,POSITIVE
Now the arrogance of the powerful will fall,NEGATIVE
Great,POSITIVE
Great,POSITIVE
Love it,POSITIVE
Good,POSITIVE
Wow,POSITIVE
Finally too excited to try KFC,POSITIVE
Koyel Pal Karmakar,POSITIVE
Wow,POSITIVE
Anupam Ghorai Arindam Tripathi,POSITIVE
We will never visit KFC save Palestine,NEGATIVE
Nabanita Pramanik one day eating and thats it here,NEGATIVE
Everything is worse news KFC,NEGATIVE
Today I went The chicken was cold There was no UPI card option only cash Although there was a machine on the side to order when I tried to use the card or UPI the server was down Luckily I had cash The food was terrible I have eaten at Durgapur KFC it was not this bad,NEGATIVE
Boycott Israel KFC,NEGATIVE
Useless waste nothing else,NEGATIVE
"Boycott ISRAEL PRODUCTS

Boycott KFC",NEGATIVE
"Boycott KFC 

GAZA children Killer",NEGATIVE
KFC,POSITIVE
The hangout service at Haldia City Centre is bad They are all unprofessional guys,NEGATIVE
WOW,POSITIVE
Best of Luck,POSITIVE
I have never heard such a terrible song believe me such a terrible voice Such a bad voice with so much confidence to sing a song There are many local bands in Haldia that sing better than this,NEGATIVE
Best Wishes,POSITIVE
The mall is so much fun,POSITIVE
The Thakurs pandal has been decorated very beautifully,POSITIVE
This is not the first worship it has happened before as well,NEGATIVE
Nice,POSITIVE
Super,POSITIVE
Beautiful pictures,POSITIVE
Very beautiful,POSITIVE
Wow it looks very beautiful,POSITIVE
Subhajit Adhikary,POSITIVE
Wrong information,NEGATIVE
You didnt allow singing or jamming sessions inside and are talking about quality time,NEGATIVE
Awesome,POSITIVE
Haldia City Center,POSITIVE
I and my friend go there every day and have fun,POSITIVE
Hi,POSITIVE
Hello,POSITIVE
They are taking parking charges,NEGATIVE
Missed it,NEUTRAL
It was a fantastic night,POSITIVE
Happy Birthday City Centre Haldia,POSITIVE
Best wishes,POSITIVE
Nice shopping experience,POSITIVE
Thank you followers,POSITIVE
Go and grab your deals,POSITIVE
Tapas Rajakk,POSITIVE
Please provide the text you would like translated,POSITIVE
Wow very nice,POSITIVE
Lets go Pritam Karmakar,POSITIVE
Happy friendship to all,POSITIVE
Best wishes and Best of luck,POSITIVE
Goodluck and best wishes to you,POSITIVE
Great Initiative,POSITIVE
Best wishes and awaiting for grand success of the event,POSITIVE
Best wishes for your upcoming event,POSITIVE
Wish you a great successful event and best of luck for your future endeavors,POSITIVE
Best wishes,POSITIVE
Eagerly waiting for the event,POSITIVE
Thank you very much to Ambuja Neotia,POSITIVE
Please provide the text you would like translated,POSITIVE
"The things you did with the fast show of the Flash movie yesterday
You are making your own name bad yourself",NEGATIVE
The worst service I have ever experienced The chicken biriyani is actually egg biriyani,NEGATIVE
"The food here is absolutely terrible
We went there on the opening day",NEGATIVE
We went there on the first day and ordered a special roll but there was no chicken instead it was just an egg roll and it was awful One of us threw the roll into the trash since it was overcooked Stay calm and avoid approaching the price Time and money were both wasted,NEGATIVE
Price koto ,NEGATIVE
Mall ta kere,NEGATIVE
Why IB movie has not released in your SVF,NEUTRAL
Tapas Rajak  plz go,NEGATIVE
Subham SB Bera,POSITIVE
Finally ,MIXED
So excited ,POSITIVE
For  month Coz after that theres no point,NEGATIVE
Wow,POSITIVE
Wow,POSITIVE
Debanjana Maiti  dekh,POSITIVE
Welcome ,POSITIVE
Nice,POSITIVE
The rate has decreased brother I am not getting it Please increase it a bit Ritam Bera,NEGATIVE
City Center Haldia please organize some good programs like other malls and increase the decoration and food stalls a bit,NEUTRAL
Nothing is being understood,NEGATIVE
Kono program nako,NEGATIVE
First comment After many days It feels great to see everyone together,POSITIVE
This mall is so eco friendly you can see trees inside  and has a design which passes natural light in the morning to the whole building which is rare in kolkata malls,POSITIVE
"This is for the rich  
Not for ordinary or poor families",NEGATIVE
I went to eat the taste was really amazing and the view was beautiful too,POSITIVE
Very good Let it be like this  Everyone will benefit during Durga Puja,POSITIVE
So many old memories are tied up with this City Center Mall Once again I saw it through your lens and was amazed sister ,MIXED
Nice place,POSITIVE
Those shacks totally ruin the city view Government should destroy those and rehabilitate somewhere else,NEGATIVE
Disgusting TRIPAL vendors,NEGATIVE
Not bad but footpaths and streetscaping need a lot of work Blue and white stripes look awful,MIXED
Better than Mooodis GIFt City,POSITIVE
Amazing shopping mall,POSITIVE
Very good ,POSITIVE
The mall is very awesome,POSITIVE
Nice mall,POSITIVE
Very beautiful,POSITIVE
It felt really good ,POSITIVE
I visited it sometimes ago and really loved the place Thinking to go again,POSITIVE
Useless just showing off outside,NEGATIVE
I had used to enjoy there till  Ill visit soon,NEGATIVE
Asshole cant even show the restaurant s,NEGATIVE
Far better than cc,POSITIVE
Honestly nothing seemed interesting,NEGATIVE
DONT VISIT COFFEE HOUSE IT DIDNT MAINTAIN ITS OWN ANCIENT VIBES TILL NOW AND THE SERVICE IS TOO MUCH POOR RIGHT NOW ,NEGATIVE
Only  thing to do leave,NEGATIVE
BEFORE  CITY OF JOY KOLKATA BEFORE TH AUGbrbrAFTER CITY OF BHOI KOLKATAAFTER TH AUGUST brbrWE WANT JUSTICE ,NEGATIVE
Doesnt even compared to Dubai but ok,NEGATIVE
It doesnt even look like Dubai,NEGATIVE
Now this building has gone bankrupt,NEGATIVE
Which fool would think this third rate filth as Dubai ,NEGATIVE
Show the poor roads potholes encroachments buffalo sheds and the stinking Yamuna river that are  meters behind this building too bro,NEGATIVE
Its building since last  yrs  many more years it will take,NEGATIVE
South Indian all dislike,NEGATIVE
as per location and city  not justified,NEGATIVE
BEFORE IT WAS SWISS THEN IT BECAME AMBUJA NEOTIA THEN FINALLY TAJ and yes it was s shity hotel before,NEGATIVE
The time machine experience was amazing I had a great D vibe,POSITIVE
I went there once its a very beautiful place,POSITIVE
I saw it We went inside the mouth of the dinosaur Inside we saw a black screen and nothing else ,NEGATIVE
Bad shapeugly look,NEGATIVE
Waste of money dont buy,NEGATIVE
It would be better if it were in our areabrYou would get better facilities and a good area and it would be available for  Cr ,MIXED
Very risky place for Hindu,NEGATIVE
Quite good ,POSITIVE
It looks like there is chaos,NEGATIVE
Avoid this place i went there for two times  the problem is that according to law when you provide this types of private place you must be maintain register with sign and valid documents of visitors but they not even check Any Id brSo be careful anything can be happen,NEGATIVE
The cafe looks less and the donkey looks more Â…,NEGATIVE
ideal place for NCR cheap chapris and chapranis,MIXED
Looks like a Red light area more than a Restaurant or Cafe,NEGATIVE
It feels more like a brothel than a couples cabin,NEGATIVE
 cafe pe log baat karne khane aur quality time spend karne brJate hainnbrbrBut ishh cafe pe  rupee per hour rate hain without foodbrbrAgar ek minute bhi late ho jaye toh apko  extra charge karengebrbrAb ap sochlo food k alawa hourly cafe milta hain yah  kotha milta hain ,NEGATIVE
When giving directions or discussing locations please do not use highly background music as it can make it very difficult to hear or understand your words,NEGATIVE
So many old memories are tied to this City Center Mall Once again I saw it through your lens and was amazed sister ,POSITIVE
Nice place,POSITIVE
Please keep the experience Bengali The last thing we need is a Hindian gutkha experience,NEGATIVE
The exterior of the hotel looks really unimpressive But I guess that is because the ITC Royal Bengal has become the benchmark in Kolkata and you cant help but compare the others with it,MIXED
Cc dekhte khub sundar,POSITIVE
After eating paratha and curry going to City Mall Center felt very nice and pleasant Stay by my side,POSITIVE
Khub sundar laglo,POSITIVE
I have also been to that amazing place,POSITIVE
On Thursday morning after having breakfast I went to the shopping mall The shopping mall was very big and I saw many things I really liked it ,POSITIVE
Had a great time with you at the city mall We also went it was very beautiful,POSITIVE
Beautiful place loved it,POSITIVE
I really liked it ,POSITIVE
  Really liked it ,POSITIVE
Felt really good ,POSITIVE
After eating paratha and curry if you go to the city center you can find everything here The mall is very beautiful ,MIXED
After eating paratha I went out to shop at the city center The city center is very beautiful,POSITIVE
After eating paratha I really liked everything at the city center,POSITIVE
I really liked the city centre,POSITIVE
After playing we went to the city center shopping mall and the mall was very beautiful Because of friends like you I get to see such beautiful places while sitting at home,MIXED
Very beautiful City center,POSITIVE
Khuub valo laglo,POSITIVE
My favorite place used to be where I would go often watch movies have tea and enjoy a lot Thank you for sharing ,POSITIVE
Very beautiful looked amazing ,POSITIVE
I really liked it,POSITIVE
I really liked it,POSITIVE
very nice experience excellent,POSITIVE
I went on this today and the atmosphere seemed a little heavy,NEGATIVE
Ye toh tatti hai,NEGATIVE
i actually went to one of these locally its not that good lol it prob sucked i did manage to climb a lil tho also its the opposite of  zero g lol,NEGATIVE
It turned out very well ,POSITIVE
Very beautiful,POSITIVE
Really liked it ,POSITIVE
After eating paratha and curry going to City Mall Center felt very nice Stay by my side,POSITIVE
Khub sundar laglo,POSITIVE
I have also been to that amazing place,POSITIVE
On Thursday morning I had breakfast early went to the shopping mall the shopping mall was very big and I saw a lot of things it felt really good ,POSITIVE
Had a great time with you at the city mall We also went it was very beautiful,POSITIVE
Beautiful place it felt great ,POSITIVE
I really liked it ,POSITIVE
  Really liked it ,POSITIVE
I liked it very much ,POSITIVE
After eating paratha and curry if you go to the city center you can find everything here The mall is very beautiful ,POSITIVE
After eating paratha if you head out to the city center for shopping the city center is really beautiful,POSITIVE
After eating paratha I really liked everything in the city center ,POSITIVE
I really liked the city centre,POSITIVE
After playing we went to the city centre shopping mall The mall is very beautiful It is because of friends like you that I get to see such beautiful places while sitting at home,POSITIVE
Very beautiful City Center,POSITIVE
My favorite place used to be where I would go often watch movies have tea and enjoy a lot Thank you for sharing,POSITIVE
Very beautiful it felt wonderful ,POSITIVE
I really liked it,POSITIVE
Really liked it ,POSITIVE
Very nice,POSITIVE
Nice mall ,POSITIVE
Beautiful mall nw frnd plz bk my hom,MIXED
Very nice Great background music,POSITIVE
very nice experience excellent,POSITIVE
I went on this today and the atmosphere seemed a little heavy,NEGATIVE
Ye toh tatti hai,NEGATIVE
i actually went to one of these locally its not that good lol it prob sucked i did manage to climb a lil tho also its the opposite of  zero g lol,NEGATIVE
It turned out very well ,POSITIVE
It was awesome,POSITIVE
Price too high,NEGATIVE
I love it it has inox  juniorshop fastrackresturant,POSITIVE
she being racist to the lady gust because she muslin,NEGATIVE
Filthy,NEGATIVE
One of the most beautiful modern day arcetecture of this country,POSITIVE
I am forced to dislike for not speaking Bengali,NEGATIVE
The food and the service is atrocious though,NEGATIVE
I am proud to be bengali and i love this place  as a resient of newtown  i can say this place is far ahead of any other planned city in terms of greenary openspace  natural friend,POSITIVE
It is not only Kolkatas first hanging resturent its Indias first hanging resturent,POSITIVE
Wow Such a beautiful restaurant  giving a birds eye view of the city Love and respect from Tamilnadu,POSITIVE
Must visit in the evening and experience the sunset,POSITIVE
Boring cafe and food price very highest,NEGATIVE
Ticket price is not justified I had been to the place Cafe ekante  food is average,NEGATIVE
Very nice place launched in kolkataall thanks to Mamata aunty,POSITIVE
Nice  Rasturant also nice,POSITIVE
The restraunt is very bad means they sell stale foodGo and search Veggie Paaji And MoInsideHit and see their review It is only a good selfie point,NEGATIVE
Yes u must visit if been to eco park,POSITIVE
Beautiful destination,POSITIVE
Very beautiful next to my fathers house,POSITIVE
Feeling very good ,POSITIVE
Liked that place and the ambience was really good Good job done ,POSITIVE
Interior design not looking good,NEGATIVE
Sample Flat  Unrealistic Celling height Actual Columns and beams missing offset missingbrfurniture made to deceive and give larger that life feelingbrbrdont fall for this trap,NEGATIVE
Western toilet not preferable install indian style,NEGATIVE
Wow  all the things are very beautiful ,POSITIVE
I really liked it havent been there in so long ,POSITIVE
It feels good to see the shopping videos Each and every collection is just awesome ,POSITIVE
Bahh it felt really good ,POSITIVE
Very beautiful collection,POSITIVE
Amazing decoration wah ,POSITIVE
It felt really good ,POSITIVE
Washroom  is a real problem for travelling women,NEGATIVE
Mashallah it has turned out very beautiful,POSITIVE
It felt very beautiful I have been to City Centre many times,POSITIVE
Really liked it ,POSITIVE
I liked it very much ,POSITIVE
I quite liked it ,POSITIVE
Very beautiful,POSITIVE
Beautiful place,POSITIVE
It felt good ,POSITIVE
My daughters doctors house is right next to the city center Its a very nice mall and Ive been there many times,POSITIVE
I felt really good after roaming around a lot  I also really want to go out and explore ,POSITIVE
It looks very beautiful,POSITIVE
Nice mall,POSITIVE
It felt good,POSITIVE
Loved it very much,POSITIVE
Really enjoyed it ,POSITIVE
It looks very beautiful,POSITIVE
It was awesome ,POSITIVE
It felt great ,POSITIVE
I really liked it,POSITIVE
I liked it a lot ,POSITIVE
Very beautiful,POSITIVE
I liked it,POSITIVE
I liked it very much,POSITIVE
bahut badhiya ,POSITIVE
Superb sharingbrBeautiful mall,POSITIVE
Big like my friends very nice very good very big mall,POSITIVE
Wow excellent mall ,POSITIVE
 lk is a very beautiful city with very beautiful malls,POSITIVE
Beautiful city center sis,POSITIVE
 lk wow so beautiful mall view  amazing sharing ,POSITIVE
Beautiful mall hamne bhi dekh liya apke sathbr,POSITIVE
It is truly a very excellent product,POSITIVE
Very beautiful,POSITIVE
lkbrWow the city center on May nd is very beautifulbrBeautiful flowers really topnotch view it was very beautiful coffee Wow,POSITIVE
Very nice mall beautiful place for shopping superb sharing thank you so much Kolkatta ka city center ghumane k liye,POSITIVE
Superb Awesome,POSITIVE
Wow  nice place sir,POSITIVE
We had a great time ,POSITIVE
I am coming back after sleeping had a lot of fun,POSITIVE
This is crap ,NEGATIVE
Nice place,POSITIVE
This is nonsense lowquality people lowquality food lowquality thinking,NEGATIVE
So nice  area,POSITIVE
People were talking about water amp pollution negligence Very dirty city  mostly,NEGATIVE
Very nice,POSITIVE
Nice mall ,POSITIVE
Very nice Great background music,POSITIVE
Nice one This is the only mall I never been too ,POSITIVE
I felt very good        Nice sharing,POSITIVE
